id,name,kind,arr_usd,contact_name,contact_email,health,notes
ACC-DLR-19,Cardinal Auto Mall,dealer,0,Carlos Kim,manager@cardinalautomall.com,steady,AutoPlex Collective member dealership
ACC-DLR-20,Happy Camper RV & Auto,dealer,0,Margaret White,manager@happycamperrvauto.com,steady,AutoPlex Collective member dealership
ACC-DLR-21,Steel City Superstore,dealer,0,Lamar Brown,manager@steelcitysuperstor.com,steady,AutoPlex Collective member dealership
ACC-DLR-22,Glass City Motors,dealer,0,Jerome Hill,manager@glasscitymotors.com,steady,AutoPlex Collective member dealership
ACC-DLR-23,Maumee Bay Mazda,dealer,0,Quinn Lee,manager@maumeebaymazda.com,steady,AutoPlex Collective member dealership
ACC-DLR-24,Bulldog Chevrolet,dealer,0,Tina Johnson,manager@bulldogchevrolet.com,steady,AutoPlex Collective member dealership
ACC-DLR-25,Riverbend Auto Ranch,dealer,0,Quinn Young,manager@riverbendautoranch.com,steady,AutoPlex Collective member dealership
ACC-DLR-26,Silver Whistle Motors,dealer,0,Stan Adams,manager@silverwhistlemotor.com,steady,AutoPlex Collective member dealership
ACC-DLR-27,Homer's House of Cars,dealer,0,Jamal Martin,manager@homershouseofcars.com,steady,AutoPlex Collective member dealership
ACC-DLR-28,Fast Eddie's Fine Autos,dealer,0,Jamal Osei,manager@fasteddiesfineauto.com,steady,AutoPlex Collective member dealership
ACC-DLR-29,North Star Nissan,dealer,0,Rosa Al-Sayed,manager@northstarnissan.com,steady,Independent TMaaS dealership
ACC-DLR-30,Old Route 6 Auto,dealer,0,Wes Lopez,manager@oldrouteauto.com,steady,Independent TMaaS dealership
ACC-DLR-31,Prairie Dog Dodge,dealer,0,Chen Flores,manager@prairiedogdodge.com,steady,Independent TMaaS dealership
ACC-DLR-32,Kettle Creek Kia,dealer,0,Umar Wright,manager@kettlecreekkia.com,steady,Independent TMaaS dealership
ACC-DLR-33,Wolverine Auto Works,dealer,0,Umar Young,manager@wolverineautoworks.com,steady,Independent TMaaS dealership
ACC-DLR-34,Buckeye Value Motors,dealer,0,Hannah Green,manager@buckeyevaluemotors.com,steady,Independent TMaaS dealership
ACC-DLR-35,Lighthouse Lincoln,dealer,0,Mabel Johnson,manager@lighthouselincoln.com,steady,Independent TMaaS dealership
ACC-DLR-36,Grandstand Auto Group,dealer,0,Bob Clark,manager@grandstandautogrou.com,steady,Independent TMaaS dealership
ACC-DLR-37,Fairweather Ford,dealer,0,Jamal Hernandez,manager@fairweatherford.com,steady,Independent TMaaS dealership
ACC-DLR-38,Tumbleweed Toyota,dealer,0,Quinn Sanchez,manager@tumbleweedtoyota.com,steady,Independent TMaaS dealership
ACC-DLR-39,First Frost Motors,dealer,0,Yuki Osei,manager@firstfrostmotors.com,steady,Independent TMaaS dealership
ACC-DLR-40,Jubilee Jeep of Dayton,dealer,0,Wes Flores,manager@jubileejeepofdayto.com,steady,Independent TMaaS dealership
